"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.788888061798125,0.218735866640808,-1.08409674808298,0.278321904549789,0.513561991201709,1.21082482030034
"tenure",0.941972580546149,0.00625897912453229,-9.55093655698318,1.28529043534279e-21,0.930302121085943,0.953413851270397
"monthly_charges",0.99466044633951,0.00352238186379776,-1.51995446072801,0.128522421386147,0.987810823835009,1.00154830535397
"total_charges",1.00033691277153,7.06595582190313e-05,4.76731015112046,1.86701784815209e-06,1.00019979094346,1.00047692355399
"contractOne year",0.487091464309916,0.105620928586564,-6.81023516300337,9.7439334292258e-12,0.395224920501838,0.598056796155953
"contractTwo year",0.217366982803811,0.173921914021743,-8.77501951056989,1.7087423827728e-18,0.153038121945785,0.302989578351805
"internet_serviceFiber optic",2.52249267811433,0.131509658084399,7.03558646633409,1.98424621412206e-12,1.9512392197001,3.26771431669734
"internet_serviceNo",0.407923606210138,0.158195989562575,-5.66812954152585,1.44364804429341e-08,0.298626877462064,0.555349501021601
"payment_methodCredit card (automatic)",0.915759754588631,0.11268255086396,-0.780965861029819,0.434822573839461,0.73409405636275,1.14196667146032
"payment_methodElectronic check",1.47645182464737,0.092931329367163,4.19279263783226,2.7554129142382e-05,1.23130613486564,1.77264985822086
"payment_methodMailed check",0.911851417592419,0.113229076528775,-0.814969302197785,0.415089881959656,0.730508163572567,1.13878128161357
"senior_citizen1",1.32819209895127,0.0831543979961368,3.41315312547831,0.000642158494620207,1.12837715483339,1.56331160666342
"partnerYes",1.0111464041952,0.0767808353493616,0.144368588528319,0.885209419655324,0.869940474871638,1.17550899336094
"dependentsYes",0.836516268673453,0.0886628606821977,-2.01334931973824,0.0440778932434545,0.702698706628854,0.994832739058066
"paperless_billingYes",1.493149386981,0.0733034291836316,5.46887882702611,4.5289122328593e-08,1.29366744172966,1.72440498292322
