"Variable","GVIF","Df","GVIF_Adjusted"
"tenure",16.2524466163845,1,4.03143232814151
"monthly_charges",8.63233533371174,1,2.93808361584754
"total_charges",20.8323873061746,1,4.56425101261692
"contract",1.53855394124017,2,1.11372554701941
"internet_service",6.23038383232123,2,1.57989673183776
"payment_method",1.34319048864292,3,1.05040376071882
"senior_citizen",1.12538694054106,1,1.06084256161839
"partner",1.37254151347927,1,1.17155516877323
"dependents",1.28287563360319,1,1.13264099943592
"paperless_billing",1.11433975849255,1,1.05562292438756
