"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.692261078055943,0.221212517156908,-1.66261890970795,0.0963887434607148,0.448413182377959,1.06753999215316
"tenure",0.94236878144556,0.00627180928596252,-9.46434921352245,2.95394705630432e-21,0.930664084087811,0.953832954872976
"monthly_charges",1.00222388460226,0.0037272293575097,0.595996440763049,0.551177604452485,0.994931062871896,1.00957809252681
"total_charges",1.00034472545478,7.07687125054928e-05,4.87031681665004,1.11419454345759e-06,1.00020745534107,1.00048502009525
"contractOne year",0.51732993470097,0.106509798319099,-6.18792305357131,6.09620707103404e-10,0.419055290759749,0.636330532083638
"contractTwo year",0.255745739674003,0.175509291620356,-7.7692270298991,7.89665217716857e-15,0.179543671395041,0.357682883096081
"internet_serviceFiber optic",1.75737979318527,0.142367646906452,3.96033760572989,7.48438761947557e-05,1.33029714364348,2.32470441569691
"internet_serviceNo",0.390080838040285,0.158907707641331,-5.92420152731554,3.13818421409428e-09,0.285180073445922,0.531823312812009
"payment_methodCredit card (automatic)",0.921001256860968,0.113361560354064,-0.725941649010856,0.467874542648593,0.737313188069473,1.15003095790747
"payment_methodElectronic check",1.41561289088046,0.0935904135820193,3.71365573082608,0.00020428665619089,1.17899887395606,1.70173706839193
"payment_methodMailed check",0.925098802297034,0.1140374077601,-0.682712238106448,0.494788695013327,0.739964284302738,1.15718299337386
"senior_citizen1",1.27795076153141,0.0837687796745192,2.92779515725157,0.00341374871769432,1.08436383592305,1.50595549211894
"partnerYes",1.01173389479273,0.0772087212193272,0.151091564451821,0.879903486701558,0.869717188627568,1.17718075829794
"dependentsYes",0.84479734823892,0.0891625027740405,-1.8915855848531,0.0585462180207936,0.70896762481483,1.00567542192068
"tech_supportNo internet service",NA,NA,NA,NA,NA,NA
"tech_supportYes",0.673229234379108,0.0878969088399984,-4.50151657022087,6.74703039135674e-06,0.566382261664209,0.799442170056738
"online_securityNo internet service",NA,NA,NA,NA,NA,NA
"online_securityYes",0.633558515218538,0.0852419483196031,-5.35420558000949,8.59331162357582e-08,0.535739987978088,0.748366442908661
"paperless_billingYes",1.45422461137618,0.0738654417445829,5.06966230197525,3.98522169885131e-07,1.25852442684629,1.68126185533873
